Item,Unit,year,production
Fruit Primary,tonnes,1966,235.587199
Fruit Primary,tonnes,1967,247.171159
Fruit Primary,tonnes,1968,253.752302
Fruit Primary,tonnes,1969,258.907559
Fruit Primary,tonnes,1970,266.240229
Fruit Primary,tonnes,1971,271.334366
Fruit Primary,tonnes,1972,267.374991
Fruit Primary,tonnes,1973,290.182933
Fruit Primary,tonnes,1974,290.964737
Fruit Primary,tonnes,1975,297.803608
Fruit Primary,tonnes,1976,305.28319
Fruit Primary,tonnes,1977,300.015719
Fruit Primary,tonnes,1978,311.405723
Fruit Primary,tonnes,1979,332.436614
Fruit Primary,tonnes,1980,338.769388
Fruit Primary,tonnes,1981,334.711419
Fruit Primary,tonnes,1982,358.793341
Fruit Primary,tonnes,1983,357.696957
Fruit Primary,tonnes,1984,358.649274
Fruit Primary,tonnes,1985,367.90748
Fruit Primary,tonnes,1986,387.66879
Fruit Primary,tonnes,1987,392.860382
Fruit Primary,tonnes,1988,393.707626
Fruit Primary,tonnes,1989,401.76315
Fruit Primary,tonnes,1990,401.594032
Fruit Primary,tonnes,1991,401.609695
Fruit Primary,tonnes,1992,432.454938
Fruit Primary,tonnes,1993,443.137612
Fruit Primary,tonnes,1994,449.111803
Fruit Primary,tonnes,1995,466.876272
Fruit Primary,tonnes,1996,492.023497
Fruit Primary,tonnes,1997,519.316923
Fruit Primary,tonnes,1998,519.577253
Fruit Primary,tonnes,1999,555.119417
Fruit Primary,tonnes,2000,571.913099
Fruit Primary,tonnes,2001,582.653919
Fruit Primary,tonnes,2002,600.740188
Fruit Primary,tonnes,2003,613.631398
Fruit Primary,tonnes,2004,637.042916
Fruit Primary,tonnes,2005,652.244756
Fruit Primary,tonnes,2006,676.908628
Fruit Primary,tonnes,2007,684.796464
Fruit Primary,tonnes,2008,702.113436
Fruit Primary,tonnes,2009,720.500199
Fruit Primary,tonnes,2010,735.617934
Fruit Primary,tonnes,2011,760.599594
Fruit Primary,tonnes,2012,773.991079
Fruit Primary,tonnes,2013,805.54539
Fruit Primary,tonnes,2014,822.27415
Fruit Primary,tonnes,2015,835.388478
Fruit Primary,tonnes,2016,836.104407
Fruit Primary,tonnes,2017,842.790723
Fruit Primary,tonnes,2018,865.875139
Fruit Primary,tonnes,2019,882.160185
Fruit Primary,tonnes,2020,887.027376
"Meat, Total",tonnes,1961,71.357081
"Meat, Total",tonnes,1962,74.649773
"Meat, Total",tonnes,1963,78.825727
"Meat, Total",tonnes,1964,80.409561
"Meat, Total",tonnes,1965,84.460267
"Meat, Total",tonnes,1966,88.124121
"Meat, Total",tonnes,1967,92.263095
"Meat, Total",tonnes,1968,95.20345
"Meat, Total",tonnes,1969,96.973921
"Meat, Total",tonnes,1970,100.661779
"Meat, Total",tonnes,1971,104.825022
"Meat, Total",tonnes,1972,107.77188
"Meat, Total",tonnes,1973,108.535139
"Meat, Total",tonnes,1974,114.032455
"Meat, Total",tonnes,1975,115.813435
"Meat, Total",tonnes,1976,118.697975
"Meat, Total",tonnes,1977,122.607692
"Meat, Total",tonnes,1978,127.494386
"Meat, Total",tonnes,1979,132.728735
"Meat, Total",tonnes,1980,136.731419
"Meat, Total",tonnes,1981,139.35707
"Meat, Total",tonnes,1982,140.654908
"Meat, Total",tonnes,1983,145.306957
"Meat, Total",tonnes,1984,149.431571
"Meat, Total",tonnes,1985,154.486443
"Meat, Total",tonnes,1986,159.150005
"Meat, Total",tonnes,1987,164.883451
"Meat, Total",tonnes,1988,171.08096
"Meat, Total",tonnes,1989,173.661635
"Meat, Total",tonnes,1990,179.486479
"Meat, Total",tonnes,1991,183.998723
"Meat, Total",tonnes,1992,187.810283
"Meat, Total",tonnes,1993,192.819724
"Meat, Total",tonnes,1994,199.438469
"Meat, Total",tonnes,1995,208.956652
"Meat, Total",tonnes,1996,206.875409
"Meat, Total",tonnes,1997,215.882713
"Meat, Total",tonnes,1998,224.144548
"Meat, Total",tonnes,1999,230.586279
"Meat, Total",tonnes,2000,232.840235
"Meat, Total",tonnes,2001,236.106772
"Meat, Total",tonnes,2002,243.035676
"Meat, Total",tonnes,2003,248.329751
"Meat, Total",tonnes,2004,253.976161
"Meat, Total",tonnes,2005,259.746561
"Meat, Total",tonnes,2006,265.7586
"Meat, Total",tonnes,2007,271.971025
"Meat, Total",tonnes,2008,280.714193
"Meat, Total",tonnes,2009,285.972446
"Meat, Total",tonnes,2010,293.803373
"Meat, Total",tonnes,2011,298.400129
"Meat, Total",tonnes,2012,306.12911
"Meat, Total",tonnes,2013,312.986363
"Meat, Total",tonnes,2014,318.676742
"Meat, Total",tonnes,2015,324.266685
"Meat, Total",tonnes,2016,327.49441
"Meat, Total",tonnes,2017,334.991504
"Meat, Total",tonnes,2018,342.170341
"Meat, Total",tonnes,2019,335.456062
"Meat, Total",tonnes,2020,337.179926
"Milk, Total",tonnes,1961,344.181035
"Milk, Total",tonnes,1962,346.846773
"Milk, Total",tonnes,1963,344.287949
"Milk, Total",tonnes,1964,349.48456
"Milk, Total",tonnes,1965,364.809272
"Milk, Total",tonnes,1966,373.463395
"Milk, Total",tonnes,1967,381.798878
"Milk, Total",tonnes,1968,390.072267
"Milk, Total",tonnes,1969,391.150678
"Milk, Total",tonnes,1970,391.938315
"Milk, Total",tonnes,1971,394.994761
"Milk, Total",tonnes,1972,405.243691
"Milk, Total",tonnes,1973,412.16685
"Milk, Total",tonnes,1974,420.411358
"Milk, Total",tonnes,1975,424.72724
"Milk, Total",tonnes,1976,433.549627
"Milk, Total",tonnes,1977,446.294532
"Milk, Total",tonnes,1978,452.718136
"Milk, Total",tonnes,1979,459.741161
"Milk, Total",tonnes,1980,465.810917
"Milk, Total",tonnes,1981,469.813574
"Milk, Total",tonnes,1982,481.714326
"Milk, Total",tonnes,1983,499.963317
"Milk, Total",tonnes,1984,504.903841
"Milk, Total",tonnes,1985,512.972133
"Milk, Total",tonnes,1986,522.575776
"Milk, Total",tonnes,1987,522.178035
"Milk, Total",tonnes,1988,529.855593
"Milk, Total",tonnes,1989,537.90298
"Milk, Total",tonnes,1990,542.458512
"Milk, Total",tonnes,1991,533.404462
"Milk, Total",tonnes,1992,526.15465
"Milk, Total",tonnes,1993,528.334154
"Milk, Total",tonnes,1994,533.052956
"Milk, Total",tonnes,1995,540.163318
"Milk, Total",tonnes,1996,547.262828
"Milk, Total",tonnes,1997,551.009942
"Milk, Total",tonnes,1998,559.699475
"Milk, Total",tonnes,1999,571.015613
"Milk, Total",tonnes,2000,579.671929
"Milk, Total",tonnes,2001,589.822497
"Milk, Total",tonnes,2002,604.543765
"Milk, Total",tonnes,2003,616.963204
"Milk, Total",tonnes,2004,629.105194
"Milk, Total",tonnes,2005,650.187166
"Milk, Total",tonnes,2006,668.970709
"Milk, Total",tonnes,2007,686.260844
"Milk, Total",tonnes,2008,701.126107
"Milk, Total",tonnes,2009,708.565643
"Milk, Total",tonnes,2010,724.142429
"Milk, Total",tonnes,2011,742.30389
"Milk, Total",tonnes,2012,759.841861
"Milk, Total",tonnes,2013,778.037383
"Milk, Total",tonnes,2014,804.447997
"Milk, Total",tonnes,2015,812.923656
"Milk, Total",tonnes,2016,822.243209
"Milk, Total",tonnes,2017,842.919302
"Milk, Total",tonnes,2018,866.350172
"Milk, Total",tonnes,2019,876.827409
"Milk, Total",tonnes,2020,886.861798
"Pulses, Total",tonnes,1961,40.782133
"Pulses, Total",tonnes,1962,46.090076
"Pulses, Total",tonnes,1963,44.674341
"Pulses, Total",tonnes,1964,46.802987
"Pulses, Total",tonnes,1965,45.244887
"Pulses, Total",tonnes,1966,40.967266
"Pulses, Total",tonnes,1967,40.005814
"Pulses, Total",tonnes,1968,42.252645
"Pulses, Total",tonnes,1969,41.718239
"Pulses, Total",tonnes,1970,43.86504
"Pulses, Total",tonnes,1971,42.675088
"Pulses, Total",tonnes,1972,41.601629
"Pulses, Total",tonnes,1973,42.214624
"Pulses, Total",tonnes,1974,43.048226
"Pulses, Total",tonnes,1975,40.351075
"Pulses, Total",tonnes,1976,44.64433
"Pulses, Total",tonnes,1977,42.466566
"Pulses, Total",tonnes,1978,44.230136
"Pulses, Total",tonnes,1979,40.978385
"Pulses, Total",tonnes,1980,40.798315
"Pulses, Total",tonnes,1981,41.634513
"Pulses, Total",tonnes,1982,45.521379
"Pulses, Total",tonnes,1983,47.801409
"Pulses, Total",tonnes,1984,49.875847
"Pulses, Total",tonnes,1985,50.474075
"Pulses, Total",tonnes,1986,52.275259
"Pulses, Total",tonnes,1987,54.066722
"Pulses, Total",tonnes,1988,55.565252
"Pulses, Total",tonnes,1989,55.737593
"Pulses, Total",tonnes,1990,59.182797
"Pulses, Total",tonnes,1991,56.167121
"Pulses, Total",tonnes,1992,52.955148
"Pulses, Total",tonnes,1993,55.578626
"Pulses, Total",tonnes,1994,56.965118
"Pulses, Total",tonnes,1995,56.484986
"Pulses, Total",tonnes,1996,54.275618
"Pulses, Total",tonnes,1997,55.539433
"Pulses, Total",tonnes,1998,56.441989
"Pulses, Total",tonnes,1999,57.84042
"Pulses, Total",tonnes,2000,55.831569
"Pulses, Total",tonnes,2001,56.342099
"Pulses, Total",tonnes,2002,58.305753
"Pulses, Total",tonnes,2003,59.475233
"Pulses, Total",tonnes,2004,60.007349
"Pulses, Total",tonnes,2005,61.526292
"Pulses, Total",tonnes,2006,61.182535
"Pulses, Total",tonnes,2007,62.000198
"Pulses, Total",tonnes,2008,63.088062
"Pulses, Total",tonnes,2009,64.753615
"Pulses, Total",tonnes,2010,71.81634
"Pulses, Total",tonnes,2011,70.153986
"Pulses, Total",tonnes,2012,74.492732
"Pulses, Total",tonnes,2013,78.620643
"Pulses, Total",tonnes,2014,76.982832
"Pulses, Total",tonnes,2015,76.772432
"Pulses, Total",tonnes,2016,83.937451
"Pulses, Total",tonnes,2017,94.790826
"Pulses, Total",tonnes,2018,90.422908
"Pulses, Total",tonnes,2019,84.693367
"Pulses, Total",tonnes,2020,89.821452
"Roots and Tubers, Total",tonnes,1961,455.313337
"Roots and Tubers, Total",tonnes,1962,448.861528
"Roots and Tubers, Total",tonnes,1963,463.433322
"Roots and Tubers, Total",tonnes,1964,478.566722
"Roots and Tubers, Total",tonnes,1965,483.999837
"Roots and Tubers, Total",tonnes,1966,506.442929
"Roots and Tubers, Total",tonnes,1967,525.164634
"Roots and Tubers, Total",tonnes,1968,537.323506
"Roots and Tubers, Total",tonnes,1969,524.555761
"Roots and Tubers, Total",tonnes,1970,559.609535
"Roots and Tubers, Total",tonnes,1971,529.287315
"Roots and Tubers, Total",tonnes,1972,516.139525
"Roots and Tubers, Total",tonnes,1973,583.382288
"Roots and Tubers, Total",tonnes,1974,548.553421
"Roots and Tubers, Total",tonnes,1975,544.491802
"Roots and Tubers, Total",tonnes,1976,539.964595
"Roots and Tubers, Total",tonnes,1977,561.120171
"Roots and Tubers, Total",tonnes,1978,585.725349
"Roots and Tubers, Total",tonnes,1979,575.01483
"Roots and Tubers, Total",tonnes,1980,522.524324
"Roots and Tubers, Total",tonnes,1981,540.862905
"Roots and Tubers, Total",tonnes,1982,543.821038
"Roots and Tubers, Total",tonnes,1983,549.633238
"Roots and Tubers, Total",tonnes,1984,578.269827
"Roots and Tubers, Total",tonnes,1985,561.306254
"Roots and Tubers, Total",tonnes,1986,564.193879
"Roots and Tubers, Total",tonnes,1987,573.578431
"Roots and Tubers, Total",tonnes,1988,562.5186
"Roots and Tubers, Total",tonnes,1989,581.220813
"Roots and Tubers, Total",tonnes,1990,574.008276
"Roots and Tubers, Total",tonnes,1991,579.095894
"Roots and Tubers, Total",tonnes,1992,605.285453
"Roots and Tubers, Total",tonnes,1993,641.475307
"Roots and Tubers, Total",tonnes,1994,603.429162
"Roots and Tubers, Total",tonnes,1995,626.873512
"Roots and Tubers, Total",tonnes,1996,655.802432
"Roots and Tubers, Total",tonnes,1997,631.315383
"Roots and Tubers, Total",tonnes,1998,646.203189
"Roots and Tubers, Total",tonnes,1999,665.536371
"Roots and Tubers, Total",tonnes,2000,692.348471
"Roots and Tubers, Total",tonnes,2001,678.06779
"Roots and Tubers, Total",tonnes,2002,687.101187
"Roots and Tubers, Total",tonnes,2003,690.794188
"Roots and Tubers, Total",tonnes,2004,725.863996
"Roots and Tubers, Total",tonnes,2005,717.879233
"Roots and Tubers, Total",tonnes,2006,707.40532700000006
"Roots and Tubers, Total",tonnes,2007,705.518213
"Roots and Tubers, Total",tonnes,2008,730.95462
"Roots and Tubers, Total",tonnes,2009,724.091766
"Roots and Tubers, Total",tonnes,2010,746.404154
"Roots and Tubers, Total",tonnes,2011,798.092075
"Roots and Tubers, Total",tonnes,2012,796.936163
"Roots and Tubers, Total",tonnes,2013,809.159972
"Roots and Tubers, Total",tonnes,2014,836.251522
"Roots and Tubers, Total",tonnes,2015,832.011384
"Roots and Tubers, Total",tonnes,2016,824.527784
"Roots and Tubers, Total",tonnes,2017,840.213643
"Roots and Tubers, Total",tonnes,2018,841.503443
"Roots and Tubers, Total",tonnes,2019,840.006601
"Roots and Tubers, Total",tonnes,2020,847.622385
Sugar Crops Primary,tonnes,1961,609.016484
Sugar Crops Primary,tonnes,1962,586.569526
Sugar Crops Primary,tonnes,1963,605.457006
Sugar Crops Primary,tonnes,1964,697.550672
Sugar Crops Primary,tonnes,1965,729.256983
Sugar Crops Primary,tonnes,1966,744.539047
Sugar Crops Primary,tonnes,1967,753.16004
Sugar Crops Primary,tonnes,1968,755.833604
Sugar Crops Primary,tonnes,1969,756.10973
Sugar Crops Primary,tonnes,1970,834.018357
Sugar Crops Primary,tonnes,1971,810.762456
Sugar Crops Primary,tonnes,1972,810.448066
Sugar Crops Primary,tonnes,1973,851.242954
Sugar Crops Primary,tonnes,1974,884.421706
Sugar Crops Primary,tonnes,1975,907.993587
Sugar Crops Primary,tonnes,1976,984.455406
Sugar Crops Primary,tonnes,1977,1024.211179
Sugar Crops Primary,tonnes,1978,1057.997351
Sugar Crops Primary,tonnes,1979,1033.735147
Sugar Crops Primary,tonnes,1980,1003.093271
Sugar Crops Primary,tonnes,1981,1088.189425
Sugar Crops Primary,tonnes,1982,1199.585704
Sugar Crops Primary,tonnes,1983,1178.785421
Sugar Crops Primary,tonnes,1984,1226.863973
Sugar Crops Primary,tonnes,1985,1218.09795
Sugar Crops Primary,tonnes,1986,1221.798771
Sugar Crops Primary,tonnes,1987,1290.869319
Sugar Crops Primary,tonnes,1988,1287.320452
Sugar Crops Primary,tonnes,1989,1333.124877
Sugar Crops Primary,tonnes,1990,1362.911616
Sugar Crops Primary,tonnes,1991,1372.807654
Sugar Crops Primary,tonnes,1992,1390.014253
Sugar Crops Primary,tonnes,1993,1303.810335
Sugar Crops Primary,tonnes,1994,1339.303125
Sugar Crops Primary,tonnes,1995,1428.622751
Sugar Crops Primary,tonnes,1996,1484.046185
Sugar Crops Primary,tonnes,1997,1515.114337
Sugar Crops Primary,tonnes,1998,1527.45572
Sugar Crops Primary,tonnes,1999,1543.47835
Sugar Crops Primary,tonnes,2000,1503.484457
Sugar Crops Primary,tonnes,2001,1488.683423
Sugar Crops Primary,tonnes,2002,1587.089226
Sugar Crops Primary,tonnes,2003,1605.386064
Sugar Crops Primary,tonnes,2004,1585.519383
Sugar Crops Primary,tonnes,2005,1560.882627
Sugar Crops Primary,tonnes,2006,1672.287639
Sugar Crops Primary,tonnes,2007,1849.966725
Sugar Crops Primary,tonnes,2008,1938.52137
Sugar Crops Primary,tonnes,2009,1901.506643
Sugar Crops Primary,tonnes,2010,1905.338534
Sugar Crops Primary,tonnes,2011,2069.681597
Sugar Crops Primary,tonnes,2012,2097.92069
Sugar Crops Primary,tonnes,2013,2150.074137
Sugar Crops Primary,tonnes,2014,2156.244367
Sugar Crops Primary,tonnes,2015,2116.717175
Sugar Crops Primary,tonnes,2016,2161.098872
Sugar Crops Primary,tonnes,2017,2150.743227
Sugar Crops Primary,tonnes,2018,2209.531192
Sugar Crops Primary,tonnes,2019,2237.098253
Sugar Crops Primary,tonnes,2020,2123.539729
"Treenuts, Total",tonnes,1961,2.615211
"Treenuts, Total",tonnes,1962,2.310032
"Treenuts, Total",tonnes,1963,2.556674
"Treenuts, Total",tonnes,1964,2.695757
"Treenuts, Total",tonnes,1965,2.521708
"Treenuts, Total",tonnes,1966,2.749729
"Treenuts, Total",tonnes,1967,2.695547
"Treenuts, Total",tonnes,1968,2.927819
"Treenuts, Total",tonnes,1969,2.786435
"Treenuts, Total",tonnes,1970,3.164211
"Treenuts, Total",tonnes,1971,2.988699
"Treenuts, Total",tonnes,1972,3.110172
"Treenuts, Total",tonnes,1973,3.351754
"Treenuts, Total",tonnes,1974,3.315594
"Treenuts, Total",tonnes,1975,3.403608
"Treenuts, Total",tonnes,1976,3.393892
"Treenuts, Total",tonnes,1977,3.388649
"Treenuts, Total",tonnes,1978,3.5345240000000002
"Treenuts, Total",tonnes,1979,3.47129
"Treenuts, Total",tonnes,1980,3.461812
"Treenuts, Total",tonnes,1981,4.097919
"Treenuts, Total",tonnes,1982,3.765839
"Treenuts, Total",tonnes,1983,3.812894
"Treenuts, Total",tonnes,1984,3.942472
"Treenuts, Total",tonnes,1985,4.007884
"Treenuts, Total",tonnes,1986,4.028937
"Treenuts, Total",tonnes,1987,4.369331
"Treenuts, Total",tonnes,1988,4.506694
"Treenuts, Total",tonnes,1989,4.842978
"Treenuts, Total",tonnes,1990,4.832669
"Treenuts, Total",tonnes,1991,5.111329
"Treenuts, Total",tonnes,1992,5.370768
"Treenuts, Total",tonnes,1993,5.416076
"Treenuts, Total",tonnes,1994,5.763425
"Treenuts, Total",tonnes,1995,5.605599
"Treenuts, Total",tonnes,1996,5.949943
"Treenuts, Total",tonnes,1997,6.433428
"Treenuts, Total",tonnes,1998,6.505072
"Treenuts, Total",tonnes,1999,7.328784
"Treenuts, Total",tonnes,2000,7.447396
"Treenuts, Total",tonnes,2001,7.627242
"Treenuts, Total",tonnes,2002,8.336492
"Treenuts, Total",tonnes,2003,8.550904
"Treenuts, Total",tonnes,2004,8.584373
"Treenuts, Total",tonnes,2005,9.554166
"Treenuts, Total",tonnes,2006,10.526087
"Treenuts, Total",tonnes,2007,11.131713
"Treenuts, Total",tonnes,2008,12.090294
"Treenuts, Total",tonnes,2009,12.244066
"Treenuts, Total",tonnes,2010,12.8961
"Treenuts, Total",tonnes,2011,13.864427
"Treenuts, Total",tonnes,2012,12.977788
"Treenuts, Total",tonnes,2013,12.89875
"Treenuts, Total",tonnes,2014,13.071631
"Treenuts, Total",tonnes,2015,13.877311
"Treenuts, Total",tonnes,2016,14.0274
"Treenuts, Total",tonnes,2017,14.986261
"Treenuts, Total",tonnes,2018,15.314496
"Treenuts, Total",tonnes,2019,15.667902
"Treenuts, Total",tonnes,2020,17.244204
Vegetables Primary,tonnes,1961,197.671814
Vegetables Primary,tonnes,1962,196.715193
Vegetables Primary,tonnes,1963,197.456216
Vegetables Primary,tonnes,1964,199.99092
Vegetables Primary,tonnes,1965,202.75467
Vegetables Primary,tonnes,1966,210.055185
Vegetables Primary,tonnes,1967,217.391148
Vegetables Primary,tonnes,1968,223.144023
Vegetables Primary,tonnes,1969,225.787672
Vegetables Primary,tonnes,1970,224.755551
