year,energy_source,energy_type,energy_source_consumption
1977,coal_consumption,fossil_fuel_consumption,19241.309
1977,gas_consumption,fossil_fuel_consumption,12760.638
1977,hydro_consumption,low_carbon_consumption,4143.536
1977,nuclear_consumption,low_carbon_consumption,1495.967
1977,oil_consumption,fossil_fuel_consumption,35214.625
1977,other_renewable_consumption,low_carbon_consumption,112.674
1977,solar_consumption,low_carbon_consumption,0
1977,wind_consumption,low_carbon_consumption,0
1978,biofuel_consumption,low_carbon_consumption,0
1978,coal_consumption,fossil_fuel_consumption,19457.913
1978,gas_consumption,fossil_fuel_consumption,13295.429
1978,hydro_consumption,low_carbon_consumption,4484.414
1978,nuclear_consumption,low_carbon_consumption,1738.319
1978,oil_consumption,fossil_fuel_consumption,36425.795
1978,other_renewable_consumption,low_carbon_consumption,119.354
1978,solar_consumption,low_carbon_consumption,0
1978,wind_consumption,low_carbon_consumption,0.008
1979,biofuel_consumption,low_carbon_consumption,0
1979,coal_consumption,fossil_fuel_consumption,20363.547
1979,gas_consumption,fossil_fuel_consumption,14119.884
1979,hydro_consumption,low_carbon_consumption,4708.863
1979,nuclear_consumption,low_carbon_consumption,1807.946
1979,oil_consumption,fossil_fuel_consumption,37024.093
1979,other_renewable_consumption,low_carbon_consumption,128.248
1979,solar_consumption,low_carbon_consumption,0
1979,wind_consumption,low_carbon_consumption,0.017
1980,biofuel_consumption,low_carbon_consumption,0
1980,coal_consumption,fossil_fuel_consumption,20857.619
1980,gas_consumption,fossil_fuel_consumption,14237.999
1980,hydro_consumption,low_carbon_consumption,4810.15
1980,nuclear_consumption,low_carbon_consumption,1977.569
1980,oil_consumption,fossil_fuel_consumption,35577.233
1980,other_renewable_consumption,low_carbon_consumption,137.182
1980,solar_consumption,low_carbon_consumption,0
1980,wind_consumption,low_carbon_consumption,0.029
1981,biofuel_consumption,low_carbon_consumption,0
1981,coal_consumption,fossil_fuel_consumption,21149.69
1981,gas_consumption,fossil_fuel_consumption,14395.129
1981,hydro_consumption,low_carbon_consumption,4913.625
1981,nuclear_consumption,low_carbon_consumption,2335.421
1981,oil_consumption,fossil_fuel_consumption,34295.875
1981,other_renewable_consumption,low_carbon_consumption,147.652
1981,solar_consumption,low_carbon_consumption,0
1981,wind_consumption,low_carbon_consumption,0.029
1982,biofuel_consumption,low_carbon_consumption,0
1982,coal_consumption,fossil_fuel_consumption,21384.44
1982,gas_consumption,fossil_fuel_consumption,14468.777
1982,hydro_consumption,low_carbon_consumption,5002.529
1982,nuclear_consumption,low_carbon_consumption,2533.829
1982,oil_consumption,fossil_fuel_consumption,33197.934
1982,other_renewable_consumption,low_carbon_consumption,170.474
1982,solar_consumption,low_carbon_consumption,0
1982,wind_consumption,low_carbon_consumption,0.051
1983,biofuel_consumption,low_carbon_consumption,0
1983,coal_consumption,fossil_fuel_consumption,22045.022
1983,gas_consumption,fossil_fuel_consumption,14702.803
1983,hydro_consumption,low_carbon_consumption,5216.03
1983,nuclear_consumption,low_carbon_consumption,2871.704
1983,oil_consumption,fossil_fuel_consumption,32968.737
1983,other_renewable_consumption,low_carbon_consumption,188.939
1983,solar_consumption,low_carbon_consumption,0.008
1983,wind_consumption,low_carbon_consumption,0.091
1984,biofuel_consumption,low_carbon_consumption,0
1984,coal_consumption,fossil_fuel_consumption,22999.527
1984,gas_consumption,fossil_fuel_consumption,15901.561
1984,hydro_consumption,low_carbon_consumption,5392.714
1984,nuclear_consumption,low_carbon_consumption,3484.915
1984,oil_consumption,fossil_fuel_consumption,33738.791
1984,other_renewable_consumption,low_carbon_consumption,211.137
1984,solar_consumption,low_carbon_consumption,0.018
1984,wind_consumption,low_carbon_consumption,0.124
1985,biofuel_consumption,low_carbon_consumption,0
1985,coal_consumption,fossil_fuel_consumption,23986.182
1985,gas_consumption,fossil_fuel_consumption,16260.907
1985,hydro_consumption,low_carbon_consumption,5499.379
1985,nuclear_consumption,low_carbon_consumption,4135.897
1985,oil_consumption,fossil_fuel_consumption,33789.184
1985,other_renewable_consumption,low_carbon_consumption,216.09
1985,solar_consumption,low_carbon_consumption,0.033
1985,wind_consumption,low_carbon_consumption,0.178
1986,biofuel_consumption,low_carbon_consumption,0
1986,coal_consumption,fossil_fuel_consumption,24256.05
1986,gas_consumption,fossil_fuel_consumption,16419.892
1986,hydro_consumption,low_carbon_consumption,5573.815
1986,nuclear_consumption,low_carbon_consumption,4429.825
1986,oil_consumption,fossil_fuel_consumption,34802.722
1986,other_renewable_consumption,low_carbon_consumption,237.72
1986,solar_consumption,low_carbon_consumption,0.042
1986,wind_consumption,low_carbon_consumption,0.386
1987,biofuel_consumption,low_carbon_consumption,0
1987,coal_consumption,fossil_fuel_consumption,25210.286
1987,gas_consumption,fossil_fuel_consumption,17280.611
1987,hydro_consumption,low_carbon_consumption,5649.189
1987,nuclear_consumption,low_carbon_consumption,4818.707
1987,oil_consumption,fossil_fuel_consumption,35499.484
1987,other_renewable_consumption,low_carbon_consumption,254.564
1987,solar_consumption,low_carbon_consumption,0.029
1987,wind_consumption,low_carbon_consumption,0.543
1988,biofuel_consumption,low_carbon_consumption,0
1988,coal_consumption,fossil_fuel_consumption,25964.647
1988,gas_consumption,fossil_fuel_consumption,18087.621
1988,hydro_consumption,low_carbon_consumption,5829.785
1988,nuclear_consumption,low_carbon_consumption,5253.474
1988,oil_consumption,fossil_fuel_consumption,36703.079
1988,other_renewable_consumption,low_carbon_consumption,261.891
1988,solar_consumption,low_carbon_consumption,0.028
1988,wind_consumption,low_carbon_consumption,0.921
1989,biofuel_consumption,low_carbon_consumption,0
1989,coal_consumption,fossil_fuel_consumption,26213.476
1989,gas_consumption,fossil_fuel_consumption,18870.551
1989,hydro_consumption,low_carbon_consumption,5798.813
1989,nuclear_consumption,low_carbon_consumption,5402.812
1989,oil_consumption,fossil_fuel_consumption,37299.85
1989,other_renewable_consumption,low_carbon_consumption,289.857
1989,solar_consumption,low_carbon_consumption,0.728
1989,wind_consumption,low_carbon_consumption,7.36
1990,biofuel_consumption,low_carbon_consumption,102.76
1990,coal_consumption,fossil_fuel_consumption,25894.997
1990,gas_consumption,fossil_fuel_consumption,19484.436
1990,hydro_consumption,low_carbon_consumption,5996.967
1990,nuclear_consumption,low_carbon_consumption,5556.843
1990,oil_consumption,fossil_fuel_consumption,37690.886
1990,other_renewable_consumption,low_carbon_consumption,324.89
1990,solar_consumption,low_carbon_consumption,1.079
1990,wind_consumption,low_carbon_consumption,10.09
1991,biofuel_consumption,low_carbon_consumption,108.63
1991,coal_consumption,fossil_fuel_consumption,25642.774
1991,gas_consumption,fossil_fuel_consumption,19976.062
1991,hydro_consumption,low_carbon_consumption,6137.256
1991,nuclear_consumption,low_carbon_consumption,5822.712
1991,oil_consumption,fossil_fuel_consumption,37691.227
1991,other_renewable_consumption,low_carbon_consumption,338.842
1991,solar_consumption,low_carbon_consumption,1.403
1991,wind_consumption,low_carbon_consumption,11.352
1992,biofuel_consumption,low_carbon_consumption,106.608
1992,coal_consumption,fossil_fuel_consumption,25549.959
1992,gas_consumption,fossil_fuel_consumption,20066.809
1992,hydro_consumption,low_carbon_consumption,6136.322
1992,nuclear_consumption,low_carbon_consumption,5866.919
1992,oil_consumption,fossil_fuel_consumption,38344.368
1992,other_renewable_consumption,low_carbon_consumption,363.728
1992,solar_consumption,low_carbon_consumption,1.302
1992,wind_consumption,low_carbon_consumption,13.148
1993,biofuel_consumption,low_carbon_consumption,111.162
1993,coal_consumption,fossil_fuel_consumption,25675.129
1993,gas_consumption,fossil_fuel_consumption,20269.103
1993,hydro_consumption,low_carbon_consumption,6503.463
1993,nuclear_consumption,low_carbon_consumption,6068.966
1993,oil_consumption,fossil_fuel_consumption,38099.268
1993,other_renewable_consumption,low_carbon_consumption,375.783
1993,solar_consumption,low_carbon_consumption,1.546
1993,wind_consumption,low_carbon_consumption,15.827
1994,biofuel_consumption,low_carbon_consumption,120.114
1994,coal_consumption,fossil_fuel_consumption,25773.562
1994,gas_consumption,fossil_fuel_consumption,20393.341
1994,hydro_consumption,low_carbon_consumption,6546.899
1994,nuclear_consumption,low_carbon_consumption,6182.906
1994,oil_consumption,fossil_fuel_consumption,38934.965
1994,other_renewable_consumption,low_carbon_consumption,390.027
1994,solar_consumption,low_carbon_consumption,1.667
1994,wind_consumption,low_carbon_consumption,19.786
1995,biofuel_consumption,low_carbon_consumption,126.441
1995,coal_consumption,fossil_fuel_consumption,25954.363
1995,gas_consumption,fossil_fuel_consumption,21108.566
1995,hydro_consumption,low_carbon_consumption,6904.543
1995,nuclear_consumption,low_carbon_consumption,6451.105
1995,oil_consumption,fossil_fuel_consumption,39444.693
1995,other_renewable_consumption,low_carbon_consumption,406.56
1995,solar_consumption,low_carbon_consumption,1.78
1995,wind_consumption,low_carbon_consumption,22.95
1996,biofuel_consumption,low_carbon_consumption,121.037
1996,coal_consumption,fossil_fuel_consumption,26572.145
1996,gas_consumption,fossil_fuel_consumption,22163.46
1996,hydro_consumption,low_carbon_consumption,7001.392
1996,nuclear_consumption,low_carbon_consumption,6685.564
1996,oil_consumption,fossil_fuel_consumption,40380.497
1996,other_renewable_consumption,low_carbon_consumption,418.238
1996,solar_consumption,low_carbon_consumption,1.959
1996,wind_consumption,low_carbon_consumption,25.568
1997,biofuel_consumption,low_carbon_consumption,126.272
1997,coal_consumption,fossil_fuel_consumption,26526.834
1997,gas_consumption,fossil_fuel_consumption,22034.355
1997,hydro_consumption,low_carbon_consumption,7128.16
1997,nuclear_consumption,low_carbon_consumption,6639.662
1997,oil_consumption,fossil_fuel_consumption,41413.258
1997,other_renewable_consumption,low_carbon_consumption,448.019
1997,solar_consumption,low_carbon_consumption,2.102
1997,wind_consumption,low_carbon_consumption,33.383
1998,biofuel_consumption,low_carbon_consumption,127.632
1998,coal_consumption,fossil_fuel_consumption,26359.578
1998,gas_consumption,fossil_fuel_consumption,22437.921
1998,hydro_consumption,low_carbon_consumption,7185.956
1998,nuclear_consumption,low_carbon_consumption,6753.84
1998,oil_consumption,fossil_fuel_consumption,41624.432
1998,other_renewable_consumption,low_carbon_consumption,468.784
1998,solar_consumption,low_carbon_consumption,2.311
1998,wind_consumption,low_carbon_consumption,44.226
1999,biofuel_consumption,low_carbon_consumption,129.306
1999,coal_consumption,fossil_fuel_consumption,26521.914
1999,gas_consumption,fossil_fuel_consumption,23075.98
1999,hydro_consumption,low_carbon_consumption,7237.996
1999,nuclear_consumption,low_carbon_consumption,7012.121
1999,oil_consumption,fossil_fuel_consumption,42371.384
1999,other_renewable_consumption,low_carbon_consumption,492.76
1999,solar_consumption,low_carbon_consumption,2.545
1999,wind_consumption,low_carbon_consumption,58.934
2000,biofuel_consumption,low_carbon_consumption,126.039
2000,coal_consumption,fossil_fuel_consumption,27417.313
2000,gas_consumption,fossil_fuel_consumption,23999.887
2000,hydro_consumption,low_carbon_consumption,7366.566
2000,nuclear_consumption,low_carbon_consumption,7169.17
2000,oil_consumption,fossil_fuel_consumption,42897.191
2000,other_renewable_consumption,low_carbon_consumption,516.82
2000,solar_consumption,low_carbon_consumption,3.112
2000,wind_consumption,low_carbon_consumption,87.28
2001,biofuel_consumption,low_carbon_consumption,125.74
2001,coal_consumption,fossil_fuel_consumption,27852.504
2001,gas_consumption,fossil_fuel_consumption,24330.947
2001,hydro_consumption,low_carbon_consumption,7130.864
2001,nuclear_consumption,low_carbon_consumption,7323.716
2001,oil_consumption,fossil_fuel_consumption,43278.157
2001,other_renewable_consumption,low_carbon_consumption,529.551
2001,solar_consumption,low_carbon_consumption,3.866
2001,wind_consumption,low_carbon_consumption,105.949
2002,biofuel_consumption,low_carbon_consumption,146.199
2002,coal_consumption,fossil_fuel_consumption,28944.643
2002,gas_consumption,fossil_fuel_consumption,25052.899
2002,hydro_consumption,low_carbon_consumption,7216.359
2002,nuclear_consumption,low_carbon_consumption,7392.732
2002,oil_consumption,fossil_fuel_consumption,43639.207
2002,other_renewable_consumption,low_carbon_consumption,565.829
2002,solar_consumption,low_carbon_consumption,4.837
2002,wind_consumption,low_carbon_consumption,143.49
2003,biofuel_consumption,low_carbon_consumption,164.938
2003,coal_consumption,fossil_fuel_consumption,31496.509
2003,gas_consumption,fossil_fuel_consumption,25752.011
2003,hydro_consumption,low_carbon_consumption,7158.541
2003,nuclear_consumption,low_carbon_consumption,7196.586
2003,oil_consumption,fossil_fuel_consumption,44609.516
2003,other_renewable_consumption,low_carbon_consumption,593.708
2003,solar_consumption,low_carbon_consumption,6.153
2003,wind_consumption,low_carbon_consumption,171.409
2004,biofuel_consumption,low_carbon_consumption,199.349
2004,coal_consumption,fossil_fuel_consumption,33664.341
2004,gas_consumption,fossil_fuel_consumption,26735.573
2004,hydro_consumption,low_carbon_consumption,7635.779
2004,nuclear_consumption,low_carbon_consumption,7475.689
2004,oil_consumption,fossil_fuel_consumption,46255.707
2004,other_renewable_consumption,low_carbon_consumption,636.916
2004,solar_consumption,low_carbon_consumption,8.053
2004,wind_consumption,low_carbon_consumption,230.413
2005,biofuel_consumption,low_carbon_consumption,238.388
2005,coal_consumption,fossil_fuel_consumption,36170.786
2005,gas_consumption,fossil_fuel_consumption,27463.918
2005,hydro_consumption,low_carbon_consumption,7844.619
2005,nuclear_consumption,low_carbon_consumption,7447.91
2005,oil_consumption,fossil_fuel_consumption,46824.25
2005,other_renewable_consumption,low_carbon_consumption,684.812
2005,solar_consumption,low_carbon_consumption,11.205
2005,wind_consumption,low_carbon_consumption,279.978
2006,biofuel_consumption,low_carbon_consumption,299.533
2006,coal_consumption,fossil_fuel_consumption,38070.674
2006,gas_consumption,fossil_fuel_consumption,28175.652
2006,hydro_consumption,low_carbon_consumption,8092.845
2006,nuclear_consumption,low_carbon_consumption,7493.281
2006,oil_consumption,fossil_fuel_consumption,47366.831
